"coefficient","ARI","ARI_batch","NMI","NMI_batch"
"pearson",0.262643190716028,0.00198225057948483,0.525484115229452,0.0219844224825733
"phi_s",0.820596901449385,0.338534590422165,0.860263317854477,0.428901217846031
"rho_p",0.820596901449385,0.338534590422165,0.860263317854477,0.428901217846031
"spearman",0.365520505401328,0.00512509771719552,0.565931638532342,0.0425100324122718
