"coefficient","ARI","ARI_batch","NMI","NMI_batch"
"pearson",0.223990241491974,0.111380678422577,0.377358249244427,0.14811915130554
"phi_s",0.914991712537632,0.734135900918303,0.935936716520633,0.800617672260732
"rho_p",0.914991712537632,0.734135900918303,0.935936716520633,0.800617672260732
"spearman",0.454132919523593,0.00340693638549441,0.720713556697049,0.0323858094027033
